id;tombo;multiplo;numero_registro;outros_titulos;titulo_original;origem;descricao;assinatura;local_assinatura;marca_inscr_obra;marca_inscr_suporte;medidas_aprox;altura_obra;larg_obra;prof_obra;diametr_obra;altura_mold;larg_mold;prof_mold;diametro_mold;dimens_adic;pes_obra;atribuido;n_foto;conjunto;conj_tombo;valor_seguro;valor_seguro_real;dataconversao;data_alter_apolice;local_atual;local_atual_novo;cod_parametro;obs;tiragem;serie;selo;tombo_anterio;verbete;livro;imagem_alta;apabex;bunkyo;fase_depuracao;para_avaliacao;para_restauracao;para_moldura;para_legenda;temp_field;selecao_lista_avulsa;dominio_publ;dt_venc_foto;obs_uso_foto;local_foto_alta;data_inclusao;data_exclusao;book_x;book_y;gen_descricao;gen_field_1;para_fotografia;gen_marca_inscr_obra;palavras_chave;gen_marca_inscr_suporte;gen_obs;gen_verbete
1;Estônia ;M;Front-line Creative;auxiliary;Granito bricks-and-clicks Rondônia;Quality-focused Berkshire primary;Human Rua world-class;true;Lindo Teclado;customized enterprise;Lindo B2C Account;false;17562;91617;56678;Corpor;3732;38232;57484;Algéria mu;functionalities Technician parse;IB;true;lima Borra;true;Horizontal;34686;11356;2021-08-18;2021-08-18;Chapéu;Organized Rua;Plástico wireless;e-commerce Congelado Alameda;Dollar;hub challenge;3444;Goiás payment;Lempira;true;false;true;true;Account;true;false;true;false;false;true;false;2021-08-19;rosa uniform uniform;applications bypass responsive;2021-08-18;2021-08-18;87283;73537;67329;17468;true;15366;Mandatory Bahia;30769;44989;90315
2;Calças S;P;calculate;limão Dynamic Group;Alagoas;transmitter Frango;and;false;e-business do Berkshire;Algodão extranet;time-frame;false;20041;40400;27071;Accoun;62925;82167;52906;24/365 Sav;bluetooth;Buckingham;false;Pizza;false;Bedfordshire emulation Tocantins;91994;17434;2021-08-18;2021-08-18;navigating Azerbaijanian Refinado;Tunísia Manager;Re-contextualized expedite;parsing Auto International;Lilangeni;IB Salgadinhos IB;35561;cross-platform Pequeno blockchains;Macio à;true;true;true;true;Incrível;true;false;true;false;true;false;false;2021-08-18;Prático;e-services collaborative Antigua;2021-08-19;2021-08-18;12342;81022;6694;18609;true;23065;Polônia;3012;77068;75102
3;salmão;C;Quality Prático Corporate;Extended Cambridgeshire;invoice bus back;Pizza neural models;extensible;false;Paradigm Reduced;neutral withdrawal;Bacon;true;69740;9836;83427;Algodã;32185;73427;52271;withdrawal;clear-thinking;Bahamas;true;Ringgit;true;generation Specialist;54654;53171;2021-08-18;2021-08-18;neural;compress;bandwidth Maranhão access;cenoura collaboration edge;Profound Berkshire productize;Developer multi-byte;89882;National;Corporate;false;false;false;true;programming Espírito SAS;false;false;true;true;true;false;false;2021-08-18;compressing Marginal national;Travessa transmitting;2021-08-18;2021-08-19;49247;71737;112;51615;true;21525;Latvian Metal Automotivo;14179;49990;3810
4;Impressi;M;Sem cutting-edge;driver;Shilling Santo amarelo;radical Internal;Implementation optimize web;true;Alameda;Tala Avenida;sensor Borders District;true;12951;1051;91292;allian;99506;14712;59184;Eslováquia;Agent;Card Inves;true;generate C;true;architect;69945;13917;2021-08-19;2021-08-19;Dollar hack Metal;e-business definition;Teclado;value-added Jóias Cayman;1080p;Executive;41917;Infrastructure strategize;Re-contextualized;false;false;true;false;syndicate;false;false;true;true;false;true;true;2021-08-18;capacitor Home;Functionality;2021-08-18;2021-08-19;12863;47509;41064;19021;true;52180;do;15722;67570;87511
5;override;L;Frango firewall Upgradable;Investment array caramelo;Filipinas Product Bedfordshire;Prático;value-added;false;overriding Congelado Algodão;Berkshire;deposit Lindo Salsicha;true;78413;9167;15505;Distri;17790;30276;81712;Avon one-t;Open-source JBOD Bacon;Aço Livros;false;intermedia;false;Luvas Macio Berkshire;68670;5045;2021-08-18;2021-08-18;quantify invoice Macio;feed 1080p Alameda;Tailândia invoice;up hack Account;Aço;transmitting matrices Buckinghamshire;45185;National;Pequeno Response Rústico;true;false;false;false;Wallis District;true;true;true;true;true;true;false;2021-08-19;Gostoso program;e-services Principal;2021-08-18;2021-08-19;70122;87046;94761;3983;false;45628;background Producer;84861;39925;97252
6;Liaison;S;cenoura state Travessa;Architect Customer;EXE Metal;Lithuanian;Avenida Inteligente Buckinghamshire;false;Roupas compressing next-generation;Cambridgeshire copy Rodovia;withdrawal services;true;92878;13787;67560;Livros;85620;39278;71930;explicit c;Lindo Algodão Designer;Madeira Fu;true;Rua AI syn;true;Goiás payment Tactics;38464;70761;2021-08-18;2021-08-18;Markets;salmão Markets;Avon Engineer calculate;Casa;Metal Mercearia;bricks-and-clicks;4104;Marginal application Goiás;Pequeno Amapá Rondônia;false;false;false;true;Card Global;false;false;true;false;true;false;true;2021-08-19;Granito Gostoso;Computador e-enable;2021-08-18;2021-08-19;19434;73800;70746;68008;false;97028;Bebê;83494;11258;27761
7;Associat;n;Lari interface;Pizza EXE;defect;Assistant;navigate;true;Account Director navigating;Checking;navigate Antillian;false;9983;22086;43727;coral;17998;75565;15608;convergenc;Program Polarised;transmitti;true;Rondônia;false;focus;89443;59550;2021-08-18;2021-08-18;Trinidad Nicarágua parse;Solutions Investor;Incrível Administrator;out-of-the-box pele Money;RAM Open-source;Bicicleta invoice;63433;magnetic client-server Account;copying Georgia global;true;true;false;false;Turismo Inteligente;true;false;false;true;false;true;false;2021-08-18;Rússia payment;cutting-edge Macio convergence;2021-08-19;2021-08-18;7023;69835;64763;67615;true;87177;marca e-services;2066;4965;71034
8;Human Al;i;haptic neural-net;cross-platform virtual Fantástico;Checking synthesize Ferramentas;turquesa;primary auxiliary;true;Yen;Bola tertiary utilize;Livros;false;43878;52034;96021;Border;60319;47384;15892;extranet;Gostoso Cross-platform Mobility;Operations;true;emulation ;false;Marketing caramelo Atum;40056;83954;2021-08-19;2021-08-18;Direct Executive;Dynamic;São;withdrawal Luvas;digital bandwidth-monitored;Avon redefine Paraíba;95459;Gostoso Coordinator;SMS;false;false;false;false;turn-key Metal;false;false;true;false;true;true;false;2021-08-18;card Brasil Adaptive;AGP core open;2021-08-18;2021-08-18;89026;52606;38238;68814;false;52851;intuitive Crianças;62578;4962;471
9;Chile;E;Macio Sabonete USB;info-mediaries Rodovia Rua;Omani Fresco Livros;port Concreto Travessa;Assurance;true;Officer deliver;reboot;Korean Enterprise-wide;false;54974;70482;98260;Avon i;59504;92921;406;Central ha;SMTP port Mouse;users;true;Santo;false;Account;22807;73639;2021-08-18;2021-08-18;magenta generate;navigate;violeta;Avon customized;Rodovia;up;83952;à;compressing Jardim index;true;true;false;false;invoice;true;false;true;true;true;false;false;2021-08-19;magenta;Accounts;2021-08-19;2021-08-18;81491;4194;70861;95781;false;78251;Marginal Sheqel hacking;88960;30492;31261
10;compress;v;efficient;up Pequeno verde;Queijo Maranhão;Mali;deposit Ferramentas Sem;false;Orchestrator mindshare;Livros array;Engineer Buckinghamshire;true;20077;37591;19368;incent;53107;57110;27023;Toalhas Po;strategy;Group exud;false;Buckingham;true;analyzer methodologies;49888;58213;2021-08-18;2021-08-18;Caiman Saúde;Sem Algodão withdrawal;pixel Account;optical;hierarchy;Seicheles Rodovia frame;63835;FTP;TCP salmão Rodovia;false;true;false;true;Impressionante;false;false;true;false;false;true;true;2021-08-18;Producer;repurpose portals function;2021-08-18;2021-08-18;35522;42255;31120;85719;true;71960;deposit;46789;96503;50247
