id;nome;data_nasc;data_falec;biografia;verbete;data_atual_bio;data_atual_verb;possui_bio;possui_verb;fonte_bio;obras_no_acervo;inativo;agradecimentos;copyright;obs_uso
1;interface Casa maximize;Markets navigating;esmeralda 1080p drive;Filmes bypassing Monitored;Crianças Madeira;2021-08-19;2021-08-19;false;true;Amazonas;national;false;Eslováquia;base celeste;Syrian Indian
2;Lustroso;Teclado Front-line;Fantástico;solution;initiative;2021-08-18;2021-08-18;false;true;withdrawal enhance;Travessa Queijo;false;Fantástico Expanded;Impressionante invoice;púrpura
3;Avenida Configuration;Fantástico;calculate;Checking Designer;XSS;2021-08-18;2021-08-18;true;false;Alagoas bypassing;solution Macio scale;true;Sergipe;content matrix invoice;Bedfordshire Plástico
4;Madeira Aço Bedfordshire;synthesizing dourado Ergonômico;copy;invoice;executive;2021-08-18;2021-08-18;true;true;payment;compressing;true;turquesa protocol;withdrawal architecture;invoice Directives Borracha
5;Chief eyeballs;HDD;global Concreto;Peixe functionalities;extensible quantifying;2021-08-19;2021-08-18;true;false;Pará Plástico up;Madeira;true;Ferramentas Mouse;generate;Pará
6;US Atum Grande;Franc enable up;Persevering grow Ergonômico;Officer deposit;Eletrônicos Algodão;2021-08-18;2021-08-18;false;true;circuit optical;Concreto Account Account;false;e-commerce bus Dynamic;hacking 5th Alameda;alarm Brinquedos Salsicha
7;Impressionante;portal Etiópia;Ergonomic Congelado;matrix program;cenoura;2021-08-19;2021-08-18;false;true;bifurcated hack;Pequeno;false;Cuba Acre quantifying;Avon Rio panel;amarelo Factors Travessa
8;technologies withdrawal Agent;sensor;marca web-enabled Rodovia;Exclusive virtual magenta;Division leverage Calças;2021-08-19;2021-08-19;true;true;Rio redundant invoice;specifically hack deposit;false;ouro haptic Developer;Marginal Credit;Inverse
9;Consultant;Beleza Filmes;sexy deposit Natal;open-source Specialist;Persevering;2021-08-18;2021-08-19;false;true;Infrastructure Licenciado Bedfordshire;Internal;true;fúchsia;Algodão haptic;reintermediate
10;SMS rosa;Romênia;cobre à quantifying;cross-platform;Assistant;2021-08-19;2021-08-18;false;true;copying;protocol Computador;false;exploit Central;Internal Planner;overriding front-end Rua
