id;apolice;obs_seguro;contrato_proposta;cia_seguradora;cnpj_seguradora;susep_seguradora;corretora;cnpj_corretora;susep_corretora;data_inicio;data_venc;inativo;premio;tx_conversao;gen_status_seguro;data_atual_seguro
1;Borracha frame;Amazonas;Mobility SMS;Vision-oriented Security Queijo;systems e Analyst;Tcheca Lats madeira;transmitter Amapá;Genérico Eletrônicos;Grass-roots;2021-08-18;2021-08-19;false;Public-key functionalities index;53926;20777;2021-08-18
2;Borders;Avon;magenta Avenida microchip;Refinado Rústico;online streamline Frango;monitor override service-desk;unleash Account;architect payment system;Filmes implementation;2021-08-18;2021-08-18;false;Auto Decentralized Integration;63906;14924;2021-08-19
3;Birr Dirham;Travessa value-added override;withdrawal Re-engineered;Buckinghamshire;bandwidth Teclado;Borders Nauru clear-thinking;turn-key Granito;compress invoice e-markets;Prático;2021-08-18;2021-08-18;false;Account relationships;12262;361;2021-08-18
4;platforms generate;Alameda Piauí;didactic;District;Enterprise-wide toolset USB;Macio frame;Switchable;Grécia;interfaces primary compress;2021-08-18;2021-08-18;true;ferrugem analyzing methodologies;31907;62001;2021-08-18
5;intuitive;HDD;Avenida;Account parsing;parsing;Internal fault-tolerant bandwidth;Sul matrix FTP;Intranet Rial Aço;Plástico Pizza Genérico;2021-08-19;2021-08-18;false;Madeira;64798;44446;2021-08-18
6;fuligem Bahia;6th Buckinghamshire;transparent mobile parse;Amazonas;índigo generate Brinquedos;Atum withdrawal;Balanced Madeira Jardim;open-source;eyeballs PCI Dynamic;2021-08-18;2021-08-18;true;exuding Bedfordshire;17199;32593;2021-08-19
7;methodical Credit;Lead Security;payment Investor;complexity Bedfordshire;holistic;model;Brand Impressionante technologies;Pernambuco;Checking;2021-08-19;2021-08-18;true;payment hacking whiteboard;66226;26787;2021-08-18
8;project;enterprise;Dollar intuitive payment;Peso Triple-buffered transmitting;Gourde;RAM;Turismo;Travessa Rua synthesize;Analyst;2021-08-19;2021-08-18;true;Pernambuco cohesive Macio;50609;73182;2021-08-18
9;Facilitator;Human;strategy generating;human-resource;envisioneer invoice;invoice product;Ilha Future;Legacy deliverables radical;Avenida Mauritânia;2021-08-18;2021-08-19;false;Alameda;72968;46152;2021-08-18
10;Paraíba Buckinghamshire FTP;withdrawal;Bahia;methodologies;Compatible;Algodão Account project;Congelado functionalities Industrial;Tocantins Money Specialist;Goiás;2021-08-18;2021-08-18;true;National SMTP;41893;64895;2021-08-18
