id;cidade;estado;pais;cidade_uf_pais;estado_pais;inativo
1;Organized;azul;calculate interface;Account Kwanza;Marianas Prático copy;false
2;invoice Paradigm parsing;District Calças Proactive;Frango Technician;Itália brand;Savings Re-contextualized quantifying;false
3;payment;Macio systems;ferrugem;Iceland Lead;Genérico Gana amarelo;false
4;Rua;Borracha;transmit;Marginal Israel do;Strategist prata GB;true
5;Gostoso Berkshire;Investor mobile Peixe;Cambridgeshire back-end;Pernambuco;Esportes optimize blockchains;true
6;Borders Avon;Carro Avon Avenida;transmitter;Porto;Fresco;false
7;initiative;Equador Borracha Central;withdrawal Avon;compressing Optimization Intuitive;multi-byte well-modulated;false
8;Aço functionalities;Computadores aggregate;Rodovia;Bedfordshire;value-added Ferramentas âmbar;true
9;Research website;Naira;Dollar actuating;input;Checking invoice;true
10;functionalities;Holanda Atum;Turismo Principal;asynchronous Intranet coherent;Casa Manat;true
