id;data;emissor;receptor;obs;transcricao;finalizado;gen_transcricao
1;Congelado calculate AGP;Salada;Ruanda override cobre;PNG redundant bandwidth;bluetooth Beleza;true;43232
2;Genérico leverage;Taiwan;Salgadinhos Consultant Won;syndicate;Plástico Refinado Decentralized;false;29982
3;Rua dourado;payment Checking Chapéu;Brinquedos Impressionante;Incrível Sapatos;Web;true;77721
4;Cambridgeshire e-services;Rústico;Consultant up;Uganda International HTTP;Quality Saúde;false;63358
5;Licenciado Sharable marca;AGP Uganda;bandwidth;bronze;payment systems Sergipe;false;42781
6;Cambridgeshire Incrível Barbados;Horizontal Response Credit;Optimization;Pequeno Samoa Líbia;Solutions Branding digital;true;68956
7;Technician Object-based;Distrito;deploy Goiás;Card;bandwidth Designer Jogos;true;13743
8;bus Agent;synergize connecting magenta;infomediaries reinvent bus;SCSI Pernambuco;synergy;false;48782
9;Marino National;Amapá;Avon;USB;Tuvalu;true;52397
10;compressing;Sudanese;Pizza contingency 24/7;invoice Peso;Account;true;26537
